verkiezing;gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip;total_counted;cast;votes_ongeldig;votes_blanco;VVD;Partij van de Arbeid (P.v.d.A.);CDA;Baarnse Onafhankelijke Partij (BOP);D66;GROENLINKS;ChristenUnie-SGP;LTS (Lijst Tinus Snyders);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);50PLUS;Partij voor de Dieren;Vrijzinnige Partij;Provincie@Inwonersbelangen;Libertarische Partij (LP);JEZUS LEEFT;OndernemersPartij;VNL (VoorNederland);DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;StemNL;MenS en Spirit / Basisinkomen Partij / V-R;VoorBaarn;U26 GEMEENTEN;GROENLINKS / Partij van de Arbeid (PvdA);Volt;JA21;BBB;BIJ1;Piratenpartij - De Groenen;BVNL / Groep Van Haga;Nieuw Sociaal Contract;Splinter;LP (Libertaire Partij);LEF - Voor de Nieuwe Generatie;Samen voor Nederland;Nederland met een PLAN;PartijvdSport;Politieke Partij voor Basisinkomen
2014_gr;Baarn;308;0308::SB1;Stembureau Gemeentehuis Baarn ing Laanstraat 1;3743 BA;1256;1452;3;6;256;88;180;218;232;131;68;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB2;Stembureau Zorgcentrum Schoonoord;3742 AB;1041;1786;2;5;148;92;187;207;161;98;67;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB3;Stembureau Maria Koningin Kerk;3742 XM;779;1360;4;0;82;87;97;177;133;74;67;62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB4;Stembureau Guido de Bresschool ing Maatkampweg;3742 TG;712;1290;4;2;85;90;84;125;104;78;68;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB5;"Stembureau Gebouw ""De Pool""";3742 RL;664;1270;2;3;61;115;56;125;71;114;47;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB6;Stembureau Gebouw Elan;3742 SJ;755;1514;3;1;128;63;87;144;129;82;67;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB7;Stembureau stembureau NS Station;3743 KM;956;1194;2;0;267;56;132;178;158;77;46;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB8;Stembureau Gebouw Brandpunt;3743 KN;845;1262;0;3;286;31;96;140;158;49;37;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB9;Stembureau Rest. Greenfield's ingang Chopinln;3741 GS;876;1873;1;5;230;46;127;154;150;59;74;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB10;"Stembureau Dorpshuis ""De Furs""";3749 AA;227;366;0;4;65;21;28;12;36;26;18;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB11;"Stembureau Verzorgingstehuis ""De Blinkert""";3741 BE;817;1400;2;1;108;115;121;179;111;76;69;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB12;Stembureau Brandweerkazerne;3741 WE;1048;1689;1;4;178;112;115;191;172;115;71;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB13;"Stembureau Woon- en Zorgcentrum ""Santvoorde""";3741 VJ;795;1536;1;3;90;100;122;151;106;86;65;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2014_gr;Baarn;308;0308::SB14;Stembureau De Speeldoos;3741 TA;902;1432;2;2;127;111;115;134;173;100;56;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB1;Stembureau Gemeentehuis Baarn ing Laanstraat 1;3743BA;1106;1448;1;4;281;79;183;0;210;72;0;0;75;60;34;7;37;58;2;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB2;Stembureau Basisschool De Uitkijck;3742RC;779;1682;2;3;130;91;116;0;156;53;0;0;59;60;36;14;18;44;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB3;Stembureau Maria Koningin Kerk;3742XM;654;1340;3;2;109;73;73;0;107;51;0;0;70;64;29;12;30;35;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB4;Stembureau Guido de Bresschool ing Maatkampweg;3742TG;645;1259;1;2;93;76;78;0;95;49;0;0;53;78;48;15;25;33;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB5;"Stembureau Gebouw ""De Pool""";3742RL;548;1302;1;2;58;47;50;0;54;58;0;0;113;65;30;7;33;27;0;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB6;Stembureau Gebouw Elan;3742SJ;663;1483;2;0;151;35;68;0;129;44;0;0;72;52;37;7;22;40;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB7;Stembureau stembureau NS station;3743KM;989;1169;0;1;316;75;137;0;188;65;0;0;58;46;39;4;19;33;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
